pl_name,hostname,discoverymethod,disc_year,disc_facility,sy_snum,sy_pnum,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,sy_dist,ra,dec
K2-273 b,K2-273,Transit,2018,K2,1,1,9.53,3.05,11.7195663,0.0729,,849,0.89,0.85,5161,-0.35279,308.105,129.7768928,19.0100046
K2-272 b,K2-272,Transit,2018,K2,1,1,9.96,3.13,14.4536756,0.1007,,747,0.86,0.83,5397,-0.30214,423.065,132.6211743,17.5423852
Kepler-1712 b,Kepler-1712,Transit,2021,Kepler,1,1,5.83,2.28372556,13.81499958,0.0903,0,391,0.515,0.509,3732,-1.17916,156.264,284.998698,50.1466922
Kepler-1789 b,Kepler-1789,Transit,2021,Kepler,1,1,8.4,2.83137505,80.23190308,0.3543,0,380,0.92,0.888,5436,-0.23129,611.461,282.8631419,41.7966332
Kepler-1790 b,Kepler-1790,Transit,2021,Kepler,1,1,10,3.1446145,31.58889961,0.20989,0,682,1.02,1.367,5866,0.38334,1070.17,294.5668577,46.0757312
Kepler-1862 b,Kepler-1862,Transit,2021,Kepler,1,1,5.49,2.203,16.05730057,0.1199,0,645,0.9,0.806,5644,-0.21515,1232.19,296.7533555,49.3780726
Kepler-1865 b,Kepler-1865,Transit,2021,Kepler,1,1,3.11,1.57686072,2.524009943,0.0344,0,1203,0.849,0.871,5420,-0.32913,922.255,293.941238,41.5904136
K2-122 b,K2-122,Transit,2017,K2,2,1,1.65,1.16,2.2193023,0.0373,0.21,769,0.63,0.59,4009,-1.10237,72.0444,126.4762179,20.3593384
K2-274 b,K2-274,Transit,2018,K2,1,1,4.98,2.08,14.1330314,0.0964,,655,0.79,0.7,5044,-0.50903,228.327,129.2823699,20.3992512
Kepler-1767 b,Kepler-1767,Transit,2021,Kepler,1,1,9.34,3.01299077,59.65829849,0.2873,0,393,0.887,0.831,5243,-0.50273,820.506,293.6441248,46.9896696
Kepler-1765 b,Kepler-1765,Transit,2021,Kepler,1,1,6.78,2.49508857,10.41889954,0.0917,0,855,0.946,1.064,5692,-0.136,764.456,298.0144601,42.9574314
Kepler-1766 b,Kepler-1766,Transit,2021,Kepler,1,1,5.81,2.27904508,105.0149994,0.4161,0,406,0.915,1.042,5868,0.17488,501.229,294.2772343,46.6752351
Kepler-1792 b,Kepler-1792,Transit,2021,Kepler,1,1,6.89,2.51990972,4.1957798,0.0488,0,1047,0.878,1.005,5229,-0.50826,601.029,294.8400788,39.0859757
Kepler-1090 c,Kepler-1090,Transit,2021,Kepler,1,2,10.9,3.29265785,42.42720032,0.22622,0,496,0.869,1.013,5330,-0.14595,858.77,295.6629002,44.5258237
Kepler-1311 d,Kepler-1311,Transit,2021,Kepler,1,3,67.5,9.65837605,197.5110016,0.68434,0,391,1.032,1.674,5616,0.47186,866.331,289.6512597,43.8244445
Kepler-1761 b,Kepler-1761,Transit,2021,Kepler,1,1,2.51,1.39109603,4.043540001,0.0413,0,613,0.573,0.532,3871,-1.1701,221.186,284.1329728,49.1426325
Kepler-1777 b,Kepler-1777,Transit,2021,Kepler,1,1,5.19,2.13189678,12.18420029,0.10301,0,819,0.984,1.068,5771,-0.03321,619.146,290.3286455,37.7231188
Kepler-1794 b,Kepler-1794,Transit,2021,Kepler,1,1,3.87,1.79426276,9.762980461,0.0821,0,703,0.773,0.816,5052,-0.6106,561.229,300.6196594,45.7888068
Kepler-1868 b,Kepler-1868,Transit,2021,Kepler,1,1,10.1,3.14950109,211.0339966,0.62348,0,215,0.743,0.686,4658,-0.66249,274.18,293.2983733,43.5558025
Kepler-1872 b,Kepler-1872,Transit,2021,Kepler,1,1,6.28,2.38421141,3.825910091,0.0465,0,1005,0.913,0.885,5223,-0.50562,840.182,281.0491988,43.3225996
HD 22496 b,HD 22496,Radial Velocity,2021,Paranal Observatory,1,1,5.57,2.22,5.09071,0.051,,573,0.684,0.674,4385,-1.17393,13.5956,53.7565398,-48.4178173
Kepler-1775 b,Kepler-1775,Transit,2021,Kepler,1,1,12.9,3.64762153,85.65399933,0.39565,0,522,1.149,1.647,5818,0.24607,657.023,286.4023452,38.7385674
Kepler-1772 b,Kepler-1772,Transit,2021,Kepler,1,1,7.68,2.68609988,3.215090036,0.04391,0,1155,0.942,0.934,5541,0.47201,871.564,289.4381201,39.2703594
Kepler-1796 b,Kepler-1796,Transit,2021,Kepler,1,1,8,2.75047868,29.4557991,0.1879,0,598,1.018,0.949,6036,0.11795,825.883,301.5430397,44.6056251
Kepler-1797 b,Kepler-1797,Transit,2021,Kepler,1,1,9.58,3.05774442,23.3593998,0.1637,0,684,1.069,1.009,6244,0.06183,1338.49,292.4642406,45.9682799
Kepler-1714 b,Kepler-1714,Transit,2021,Kepler,1,1,10.7,3.26437302,10.27530003,0.10549,0,1211,1.448,2.086,6150,0.76008,409.46,293.7164655,46.2266878
Kepler-1874 b,Kepler-1874,Transit,2021,Kepler,1,1,5.52,2.21110724,56.57320023,0.2633,0,356,0.758,0.775,4701,-0.577,408.007,286.3718158,43.692081
OGLE-2018-BLG-0962L b,OGLE-2018-BLG-0962L,Microlensing,2021,OGLE,1,1,425.8900654,13.6,,3.59,,,0.54,,,,6500,268.1747917,-32.30925
Kepler-1774 b,Kepler-1774,Transit,2021,Kepler,1,1,10.2,3.18179549,59.77080154,0.29496,0,522,1.101,1.122,6214,0.19049,816.592,288.5743991,40.9886069
Kepler-799 c,Kepler-799,Transit,2021,Kepler,1,2,8.15,2.78068551,15.19419956,0.1214,0,893,1.031,1.593,5588,0.349,1509.084,287.1748966,44.8784754
Kepler-1822 b,Kepler-1822,Transit,2021,Kepler,1,1,7.5,2.64755943,22.13339996,0.1416,0,507,0.782,0.702,5165,-0.28559,897.597,297.2855,41.3055733
Kepler-1875 b,Kepler-1875,Transit,2021,Kepler,1,1,10.5,3.22686692,34.45859909,0.2039,0,559,0.95,0.862,6161,0.4066,1660.45,296.7727406,50.1883667
HD 137496 b,HD 137496,Transit,2021,K2,1,2,4.04,1.31,1.62116,0.02732,0,2130,1.04,1.59,5799,0.36633,155.317,231.7420543,-16.5090014
Kepler-1824 b,Kepler-1824,Transit,2021,Kepler,1,1,6.26,2.38127597,95.61100006,0.4267,0,421,1.135,1.081,6002,0.171,1040.1,296.7071957,41.2036197
Kepler-1825 b,Kepler-1825,Transit,2021,Kepler,1,1,2.61,1.42200732,1.025869966,0.0187,0,1520,0.828,0.847,5123,-0.53158,430.254,292.5140647,42.6517554
Kepler-1826 b,Kepler-1826,Transit,2021,Kepler,1,1,2.78,1.47519116,1.615360022,0.0213,0,806,0.49,0.486,3821,-1.12218,336.952,292.7700072,48.8998469
Kepler-1130 c,Kepler-1130,Transit,2021,Kepler,2,3,0.422,0.79239584,3.266639948,0.04238,0,1072,0.944,0.842,5450,-0.25964,249.343,285.207421,45.384333
KMT-2016-BLG-2605L b,KMT-2016-BLG-2605L,Microlensing,2021,KMTNet,1,1,245.0457018,14,,0.681,,,0.064,,,,6421,269.8230833,-26.982
HD 137496 c,HD 137496,Radial Velocity,2021,Multiple Observatories,1,2,2434.565598,12.6,479.9,1.2163,0.477,370,1.04,1.59,5799,0.36633,155.317,231.7420543,-16.5090014
Kepler-1782 b,Kepler-1782,Transit,2021,Kepler,1,1,5.6,2.22927435,5.756229877,0.05825,0,773,0.794,0.734,4931,-0.55623,305.792,280.926162,44.0878036
Kepler-1768 b,Kepler-1768,Transit,2021,Kepler,1,1,5.62,2.23346338,15.13589954,0.1286,0,933,1.24,1.572,6050,0.28665,632.766,299.9572335,44.7718851
Kepler-1830 b,Kepler-1830,Transit,2021,Kepler,1,1,11.1,3.32992941,56.49330139,0.31769,0,681,1.443,2.046,6160,0.63129,1056.88,295.1390408,40.9790527
Kepler-1881 b,Kepler-1881,Transit,2021,Kepler,1,1,9.17,2.98104391,159.3939972,0.53325,0,289,0.812,0.874,5135,-0.3067,1057.21,293.6393065,44.9825447
Kepler-1882 b,Kepler-1882,Transit,2021,Kepler,1,1,2.81,1.48674404,13.78730011,0.11636,0,894,1.068,1.458,5691,0.23674,443.371,290.6640856,43.4997866
Kepler-1733 b,Kepler-1733,Transit,2021,Kepler,1,1,12.8,3.63582354,9.229579926,0.0933,0,1021,1.273,1.252,6320,0.42985,2080.51,291.1384628,37.8592447
Kepler-1779 b,Kepler-1779,Transit,2021,Kepler,1,1,9.44,3.03295685,16.34359932,0.1264,0,730,1.008,1.056,5730,-0.04999,908.501,300.4174607,45.6054854
Kepler-1776 b,Kepler-1776,Transit,2021,Kepler,1,1,7.33,2.61157023,35.01190186,0.2093,0,603,1.041,1.153,5872,0.16391,690.336,291.5344017,47.0424958
Kepler-1832 b,Kepler-1832,Transit,2021,Kepler,1,1,2.02,1.22719556,3.138789892,0.037,0,1022,0.684,0.722,5242,-0.33658,486.174,299.8517779,43.7320611
Kepler-1883 b,Kepler-1883,Transit,2021,Kepler,1,1,10.6,3.25107395,103.427002,0.4438,0,416,1.086,1.024,6208,-0.01559,1377.61,291.922557,42.002522
Kepler-1884 b,Kepler-1884,Transit,2021,Kepler,1,1,3.95,1.81406781,8.988320351,0.0845,0,864,0.993,0.906,5984,0.27711,1443.09,296.7463986,43.0454207
Kepler-1737 b,Kepler-1737,Transit,2021,Kepler,1,1,25.1,5.395,64.61750031,0.297,0,383,0.834,0.881,5043,-0.344,,297.0148111,47.486417
Kepler-1739 b,Kepler-1739,Transit,2021,Kepler,1,1,6.48,2.43056832,7.343709946,0.0697,0,839,0.865,0.762,5757,-0.14011,783.666,296.2320536,47.6788626
Kepler-1771 b,Kepler-1771,Transit,2021,Kepler,1,1,15.5,4.05537256,88.64399719,0.3815,0,391,0.941,0.934,5661,-0.0924,565.752,292.0134714,49.0191267
Kepler-1799 b,Kepler-1799,Transit,2021,Kepler,1,1,15.9,4.12801189,11.9296999,0.1028,0,770,1.016,0.921,5831,0.31428,2254.69,288.3086994,51.4783348
Kepler-1838 b,Kepler-1838,Transit,2021,Kepler,1,1,3.4,1.66049425,12.14680004,0.11082,0,1097,1.187,1.963,5877,0.53674,451.242,298.9917165,40.14226
TCP J05074264+2447555 b,TCP J05074264+2447555,Microlensing,2018,Multiple Observatories,1,1,20,4.72,,0.94,,,0.586,1.42487,5805,0.31745,505,76.928,24.7989611
Kepler-418 c,Kepler-418,Transit,2021,Kepler,1,2,23.7,5.22108654,12.21829987,0.10632,0,835,0.957,1.081,5822,0.11114,1002.53,294.4335228,38.3554729
Kepler-1750 b,Kepler-1750,Transit,2021,Kepler,1,1,30.1,6.00434637,205.9120026,0.6785,0,298,0.981,0.969,5644,0.06117,1497.33,292.3514917,48.5110714
Kepler-1801 b,Kepler-1801,Transit,2021,Kepler,1,2,7.8,2.70926154,10.44089985,0.0915,0,829,0.936,0.981,5738,-0.22269,839.332,295.1640095,39.2014024
Kepler-1804 b,Kepler-1804,Transit,2021,Kepler,1,1,3.18,1.59615726,12.28849983,0.1017,0,913,0.929,1.671,5109,-0.51152,434.456,301.3428675,44.672175
Kepler-1840 b,Kepler-1840,Transit,2021,Kepler,1,1,8.13,2.77771129,131.1900024,0.46206,0,284,0.774,0.803,4898,-0.58706,513.107,298.5948803,41.4359643
Kepler-1715 b,Kepler-1715,Transit,2021,Kepler,1,1,16,4.14042267,35.59730148,0.22429,0,646,1.082,1.209,6212,0.41691,522.605,293.9297337,41.6029048
HD 25723 b,HD 25723,Radial Velocity,2020,Lick Observatory,1,1,794.5710175,13.3,457.01,1.49,0.04,,2.12,13.76,4766,1.94443,114.816,61.0947182,-12.7922241
17 Sco b,17 Sco,Radial Velocity,2020,Lick Observatory,1,1,1373.018718,12.9,578.38,1.45,0.06,,1.22,25.92,4157,2.25435,124.953,243.4620874,-11.8377905
Kepler-1748 b,Kepler-1748,Transit,2021,Kepler,1,1,7.81,2.71275017,5.823520184,0.0615,0,955,0.916,0.864,5774,-0.34954,1083.28,285.967897,45.7390789
Kepler-1747 b,Kepler-1747,Transit,2021,Kepler,1,1,16.8,4.26508,6.230319977,0.066,0,875,0.983,0.865,5477,-0.20529,1321.38,284.2096557,45.258082
Kepler-1805 b,Kepler-1805,Transit,2021,Kepler,1,1,3,1.54502915,8.847940445,0.0699,0,479,0.581,0.552,3867,-1.17695,221.639,285.0865387,40.8990506
Kepler-1742 b,Kepler-1742,Transit,2021,Kepler,1,1,5.38,2.1782413,49.47819901,0.2587,0,462,0.939,0.849,5776,-0.18376,669.573,286.9668086,44.9924315
Kepler-1741 b,Kepler-1741,Transit,2021,Kepler,1,1,2.16,1.273,2.757590055,0.0296,0,615,0.454,0.424,3683,-1.24232,270.739,292.577073,39.120939
Kepler-1809 b,Kepler-1809,Transit,2021,Kepler,1,1,2.9,1.513,3.7572999,0.04444,0,877,0.807,0.716,4901,-0.47061,409.602,290.2651662,40.5484937
Kepler-1810 b,Kepler-1810,Transit,2021,Kepler,1,1,14.6,3.91815325,101.1330032,0.4137,0,380,0.921,1.016,5492,-0.15834,1009.87,291.8129995,38.0880964
Kepler-1846 b,Kepler-1846,Transit,2021,Kepler,1,1,3.76,1.76378826,14.82009983,0.11054,0,552,0.785,0.732,4825,-0.53047,374.615,294.3909489,44.7629523
Kepler-1847 b,Kepler-1847,Transit,2021,Kepler,1,1,7.97,2.74516914,11.12969971,0.0989,0,843,1.041,0.964,6122,0.09941,1693.86,296.6014013,44.3252289
K2-101 b,K2-101,Transit,2016,K2,1,1,4.66,2,14.6762429,0.1124,0.1,618,0.82,0.76,4927,-0.59482,188.33,130.3439097,18.9338205
K2-95 b,K2-95,Transit,2016,K2,1,1,11,3.31,10.1346454,0.0525,0.16,474,0.41,0.4,3566,-1.63451,179.854,129.3625717,18.9766197
Kepler-1745 b,Kepler-1745,Transit,2021,Kepler,1,1,4.38,1.92872921,3.016190052,0.0408,0,1449,0.995,1.4,5611,0.00651,996.105,293.4689924,42.8223582
Kepler-1813 b,Kepler-1813,Transit,2021,Kepler,1,1,2.58,1.413,2.818160057,0.0364,0,1059,0.812,0.787,5167,-0.4,,292.2399069,48.5115214
Kepler-1814 b,Kepler-1814,Transit,2021,Kepler,1,2,6.21,2.36961357,2.935359955,0.03765,0,1022,0.79,0.823,4922,-0.50574,726.346,285.2166767,41.2824449
