pl_name,hostname,discoverymethod,disc_year,disc_facility,sy_snum,sy_pnum,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,sy_dist,ra,dec
Kepler-1167 b,Kepler-1167,Transit,2016,Kepler,1,1,3.57,1.71,1.003933739,0.0175,0,1419,0.79,0.75,4971,-0.53589,820.905,298.3026595,47.6939654
Kepler-1740 b,Kepler-1740,Transit,2021,Kepler,1,1,11,3.32321414,8.172400475,0.0779,0,858,0.943,0.905,5705,-0.07942,1061.77,293.873663,38.9224548
Kepler-1581 b,Kepler-1581,Transit,2016,Kepler,1,1,0.437,0.8,6.28385491,0.06865,0,1108,1.12,1.23,6022,0.39085,493.175,287.3713199,39.6036225
Kepler-644 b,Kepler-644,Transit,2016,Kepler,1,1,10.1,3.15,3.173917103,0.04641,0,1655,1.49,1.81,6747,0.71041,1318.05,295.4757022,43.4931119
Kepler-1752 b,Kepler-1752,Transit,2021,Kepler,1,1,18.7,4.54060463,56.35850143,0.2698,0,419,0.824,0.821,5446,-0.39819,962.888,290.8541401,51.2227435
Kepler-280 c,Kepler-280,Transit,2014,Kepler,1,2,4.7,2.01,4.807091,0.056,0,1088,0.962,0.886,5744,-0.06437,780.361,291.3905325,42.1804735
Kepler-1208 b,Kepler-1208,Transit,2016,Kepler,1,1,5.99,2.32,11.08507637,0.0901,0,665,0.8,0.76,5001,-0.55349,825.176,291.8812445,44.5557587
Kepler-263 c,Kepler-263,Transit,2014,Kepler,1,2,6.66,2.47,47.332773,0.242,0,386,0.793,0.785,5265,-0.45614,754.747,292.4698022,37.5677941
Kepler-1101 b,Kepler-1101,Transit,2016,Kepler,1,1,6.66,2.47,81.3151059,0.3483,0,393,0.94,0.91,5614,-0.35135,742.473,294.5693544,45.6711623
HD 168746 b,HD 168746,Radial Velocity,2002,La Silla Observatory,1,1,85.8141,11.1,6.404,0.07,0.11,900,1.07,1.09,5570,0.04139,41.5681,275.4573269,-11.9229757
WASP-107 c,WASP-107,Radial Velocity,2020,Multiple Observatories,1,2,111.2399425,13,1066,,0.27,,0.683,0.657,4425,-0.87943,64.7414,188.3864277,-10.1462141
Kepler-560 b,Kepler-560,Transit,2016,Kepler,2,1,3.61,1.72,18.47764449,0.0899,0.17,298,0.34,0.33,3556,-1.717,109.308,300.2066441,45.0182402
Kepler-150 d,Kepler-150,Transit,2014,Kepler,1,5,8.2,2.79,12.56093,0.104,0,734,0.956,0.939,5560,-0.16141,891.092,288.2341025,40.520897
Kepler-498 b,Kepler-498,Transit,2016,Kepler,1,1,9.43,3.03,9.61375356,0.0897,0,931,0.98,0.96,5744,0.17242,938.844,290.3581592,44.5187225
Kepler-817 b,Kepler-817,Transit,2016,Kepler,1,1,60.2,9.03,3.990106229,0.0493,0,1124,1.03,1.03,5861,0.08609,1484.46,296.0818498,39.161614
Kepler-937 b,Kepler-937,Transit,2016,Kepler,1,2,13.4,3.72,67.668827,0.3214,0,495,1.15,1.22,6095,0.28097,1571.46,294.1688142,46.7146161
K2-10 b,K2-10,Transit,2015,K2,1,1,25.2,3.773,19.30553,0.137,0.31,649,0.88,0.956,5533,-0.10088,272.36,172.1216476,1.6906217
Kepler-571 b,Kepler-571,Transit,2016,Kepler,1,1,7.46,2.64,4.798599388,0.0546,0,978,0.93,0.9,5527,-0.22253,723.875,286.5510448,49.418731
Kepler-1458 b,Kepler-1458,Transit,2016,Kepler,1,1,8.05,2.76,47.9872764,0.24869,0,493,0.96,0.94,5653,-0.24032,544.45,283.2115971,41.0380135
K2-335 b,K2-335,Transit,2021,K2,1,1,5.52,2.21,12.283211,,,949,1.23,1.33,6222,0.39509,557.993,129.3896679,16.5220648
Kepler-1600 c,Kepler-1600,Transit,2021,Kepler,1,2,4.43,1.94206512,7.298049927,0.06961,0,786,0.818,0.834,5119,-0.33945,1030.81,291.3993802,38.7877563
Kepler-221 d,Kepler-221,Transit,2014,Kepler,1,4,3.61,2.73,10.04156,0.087,0,712,0.854,0.821,5243,-0.40429,385.231,296.6547477,46.8352242
Kepler-626 b,Kepler-626,Transit,2016,Kepler,1,1,5.86,2.29,14.48585199,0.10913,0,784,1.01,1.05,5813,-0.04194,635.643,288.6986828,39.7082044
Kepler-1549 b,Kepler-1549,Transit,2016,Kepler,1,1,7.13,2.57,214.886545,0.6687,0,286,0.88,0.84,5324,-0.27333,803.052,286.0524399,39.0960281
K2-62 c,K2-62,Transit,2016,K2,1,2,4.62,1.99,16.19697,0.1148,,495,0.67,0.696,4455,-0.72658,112.467,334.3645089,-12.1874776
Kepler-1149 b,Kepler-1149,Transit,2016,Kepler,1,1,2.67,1.44,3.73089898,0.0473,0,1128,1.02,1.01,5833,0.16546,1217.73,294.1891824,45.1515263
Kepler-1288 b,Kepler-1288,Transit,2016,Kepler,1,1,1.46,1.12,2.76122421,0.04135,0,2017,1.2,1.29,6132,0.30207,814.078,285.7135,41.6058799
Kepler-128 b,Kepler-128,Transit,2013,Kepler,1,2,3.79,1.421,15,0.12545,0,968,1.184,1.659,6072,0.57542,396.379,282.4922622,43.9802442
Kepler-1245 b,Kepler-1245,Transit,2016,Kepler,1,2,2.67,1.44,4.35409304,0.0484,0,1043,0.86,0.83,5306,-0.41093,805.936,290.7443078,43.260753
Kepler-1068 b,Kepler-1068,Transit,2016,Kepler,1,1,12.8,3.63,16.92344113,0.13038,0,702,1.01,1.01,5806,-0.02521,1473.61,294.6481708,46.3923173
Kepler-311 c,Kepler-311,Transit,2014,Kepler,1,3,2.63,1.43,19.738286,0.145,0,744,0.994,1.188,5905,0.19328,778.654,282.0612731,47.0854984
Kepler-150 e,Kepler-150,Transit,2014,Kepler,1,5,9.91,3.12,30.826557,0.189,0,544,0.956,0.939,5560,-0.16141,891.092,288.2341025,40.520897
Kepler-272 c,Kepler-272,Transit,2014,Kepler,1,3,97.8,1.79,6.057342,0.061,0,947,0.91,0.929,5297,0.06634,889.608,299.1275257,47.5938319
Kepler-152 c,Kepler-152,Transit,2014,Kepler,1,2,6.3,2.39,88.255055,0.356,0,326,0.779,0.724,5088,-0.46488,441.09,286.8653826,41.9889571
Kepler-1506 b,Kepler-1506,Transit,2016,Kepler,1,1,2.3,1.32,14.0329154,0.1168,0,783,0.95,0.93,5676,0.42561,2366.02,290.1498822,41.4645625
CoRoT-3 b,CoRoT-3,Transit,2008,CoRoT,1,1,6883.91,11.32,4.2568,0.05783,0,1695,1.37,1.56,6740,0.39086,768.771,292.0552827,0.1218359
HD 205739 b,HD 205739,Radial Velocity,2008,Las Campanas Observatory,1,1,435.41,13.6,279.8,0.896,0.27,,1.22,1.33,6176,0.36,92.5087,324.5351273,-31.7378373
HD 224693 b,HD 224693,Radial Velocity,2006,W. M. Keck Observatory,1,1,222.481,14,26.6904,0.191,0.104,,1.31,1.93,5894,0.61,93.5015,359.9749837,-22.4279999
HD 156279 b,HD 156279,Radial Velocity,2011,Haute-Provence Observatory,1,2,2997.757535,12.5,133.40355,0.502,0.647,,0.94,0.95,5453,-0.14596,36.1945,258.0966686,63.3527828
HD 12661 b,HD 12661,Radial Velocity,2000,Multiple Observatories,1,2,772.3269,13.3,262.70862,0.84,0.38,,1.2,1.2,5645,0.1327,37.8478,31.1423525,25.4135632
HD 16417 b,HD 16417,Radial Velocity,2008,Anglo-Australian Telescope,2,1,22.1,5,17.24,0.14,0.2,,1.2,1.639984,5841,0.44317,25.3936,39.2441029,-34.5790905
HD 19994 b,HD 19994,Radial Velocity,2003,La Silla Observatory,3,1,435.41,13.6,466.2,1.305,0.063,,1.365,1.79647,6188,0.58,22.5242,48.1943193,-1.1963955
HD 156279 c,HD 156279,Radial Velocity,2018,W. M. Keck Observatory,1,2,3098.826968,12.5,4818.25358,5.486,0.261,,0.94,0.95,5453,-0.14596,36.1945,258.0966686,63.3527828
GJ 179 b,GJ 179,Radial Velocity,2009,W. M. Keck Observatory,1,1,301.9369867,13.8,2288,2.41,0.21,,0.357,0.38,3370,-1.796,12.356,73.0245495,6.4752347
GQ Lup b,GQ Lup,Imaging,2004,Paranal Observatory,1,1,6356,33.6,,100,,2650,0.7,1.94153,4360,-0.07239,151.169,237.3003643,-35.6515055
GJ 832 b,GJ 832,Radial Velocity,2008,Anglo-Australian Telescope,1,1,314.6501229,13.8,3853,3.7,0.05,,0.45,0.441557,3472,-1.585,4.96435,323.3912616,-49.0125169
HD 37605 b,HD 37605,Radial Velocity,2004,McDonald Observatory,1,2,854.9627,13.2,55.01292,0.277,0.6745,,0.94,0.91,5329,-0.22,46.7864,85.0074276,6.0595116
HD 33283 b,HD 33283,Radial Velocity,2006,W. M. Keck Observatory,2,1,104.56607,12.5,18.1991,0.1508,0.399,,1.38,1.97,5935,0.64,89.8623,77.0044889,-26.7976689
HD 9446 b,HD 9446,Radial Velocity,2009,Haute-Provence Observatory,1,2,222.472,14,30.052,0.189,0.2,,1,1,5793,0.04139,50.3503,23.3350424,29.2649187
HD 134987 c,HD 134987,Radial Velocity,2009,Multiple Observatories,1,2,260,13.9,5000,5.8,0.12,,1.1,1.25,5585,0.25527,26.1804,228.3675397,-25.3096721
HD 110014 b,HD 110014,Radial Velocity,2009,La Silla Observatory,1,1,3524.59,12.4,835.477,2.14,0.462,,2.17,20.9,4445,2.30408,100.758,189.8111935,-7.9956702
HD 79498 b,HD 79498,Radial Velocity,2011,McDonald Observatory,2,1,425.8922,13.6,1807,2.98,0.575,,1.08,1.05,5748,0.03,48.9489,138.7885794,23.3748792
HD 45652 b,HD 45652,Radial Velocity,2008,Haute-Provence Observatory,1,1,137.62039,14.3,44.073,0.237,0.607,,0.92,0.94,5294,-0.2,34.8541,97.3058709,10.9336212
HIP 79431 b,HIP 79431,Radial Velocity,2009,W. M. Keck Observatory,1,1,667.415,13.4,111.7,0.36,0.29,,0.49,0.478625,3191,-1.54921,14.5324,243.1742467,-18.8764247
HD 3167 b,HD 3167,Transit,2016,K2,1,4,4.97,1.67,0.959641,0.01796,0,1774,0.837,0.88,5261,-0.27003,47.2899,8.7401487,4.3807215
GJ 876 b,GJ 876,Radial Velocity,1998,Multiple Observatories,1,4,723.2235,13.3,61.1166,0.208317,0.0324,,0.32,0.3,3293.74,-1.90658,4.67517,343.3239737,-14.2665958
HD 114783 c,HD 114783,Radial Velocity,2018,W. M. Keck Observatory,1,2,603.8739733,13.4,4352,5,0.05,,0.9,0.840622,5135,-0.3725,21.0628,198.1818436,-2.2649921
HD 47186 c,HD 47186,Radial Velocity,2008,La Silla Observatory,1,2,111.42,13,1353.6,2.395,0.249,,0.96,1.08,5657,0.04298,37.4574,99.0367212,-27.6234285
HD 114783 b,HD 114783,Radial Velocity,2001,W. M. Keck Observatory,1,2,349.6,13.7,493.7,1.16,0.144,,0.853,0.840622,5135,-0.3725,21.0628,198.1818436,-2.2649921
HD 148156 b,HD 148156,Radial Velocity,2009,La Silla Observatory,1,1,270.144,13.9,1027,2.45,0.52,,1.22,1.21,6308,0.25042,57.1289,247.0723035,-46.3175085
HD 12661 c,HD 12661,Radial Velocity,2002,Multiple Observatories,1,2,899.4543918,13.2,1708,2.8145,0.031,,1.02,1.11,5748,0.063,37.8478,31.1423525,25.4135632
HIP 14810 c,HIP 14810,Radial Velocity,2006,W. M. Keck Observatory,1,3,416.3573,13.6,147.747,0.549,0.1566,,1.01,1.07,5544,-0.01,50.48,47.809275,21.0971302
HIP 14810 b,HIP 14810,Radial Velocity,2005,W. M. Keck Observatory,1,3,1239.537,13,6.673892,0.0696,0.14399,,1.01,1.07,5544,-0.01,50.48,47.809275,21.0971302
GJ 876 d,GJ 876,Radial Velocity,2005,W. M. Keck Observatory,1,4,6.83,2.51,1.93778,0.02080665,0.207,,0.32,0.3,3293.74,-1.90658,4.67517,343.3239737,-14.2665958
GJ 876 e,GJ 876,Radial Velocity,2010,W. M. Keck Observatory,1,4,14.6,3.92,124.26,0.3343,0.055,,0.32,0.3,3293.74,-1.90658,4.67517,343.3239737,-14.2665958
gam1 Leo b,gam1 Leo,Radial Velocity,2009,Bohyunsan Optical Astronomical Observatory,2,1,2790.43,12.5,428.5,1.19,0.144,,1.23,31.88,4330,2.51,39.8883,154.993208,19.841389
HD 156411 b,HD 156411,Radial Velocity,2009,La Silla Observatory,1,1,235.18,14,842.2,1.88,0.22,,1.25,2.16,5900,0.731,56.8655,259.9639522,-48.5502313
HD 8535 b,HD 8535,Radial Velocity,2010,La Silla Observatory,2,1,216.1244,14,1313,2.45,0.15,,1.13,1.19,6136,0.33266,55.4401,20.9054804,-41.2701007
HD 37605 c,HD 37605,Radial Velocity,2012,Multiple Observatories,1,2,1013.8777,13.1,2720,3.74,0.03,,0.94,0.91,5329,-0.22,46.7864,85.0074276,6.0595116
HD 1605 c,HD 1605,Radial Velocity,2015,Multiple Observatories,1,2,1150.5446,13,2149,3.584,0.099,,1.33,3.49,4915,0.81,88.8047,5.1317548,30.9750611
BD+20 2457 b,BD+20 2457,Radial Velocity,2009,McDonald Observatory,1,2,6807.63,12.1,379.63,1.45,0.15,,2.8,49,4137,3.17,1539.71,154.186782,19.8912626
HD 240210 b,HD 240210,Radial Velocity,2009,McDonald Observatory,1,1,1655.82,12.8,501.75,1.16,0.15,,0.82,25.456816,4297,1.55,372.405,347.6219227,57.0294818
CoRoT-17 b,CoRoT-17,Transit,2011,CoRoT,1,1,772.29,11.43,3.7681,0.0461,0,1626,1.04,1.59,5740,0.13421,1176.12,278.699236,-6.612288
HD 132563 b,HD 132563,Radial Velocity,2011,Roque de los Muchachos Observatory,3,1,473.547,13.6,1544,2.62,0.22,,1.231,1.29577,6289,0.37408,105.155,224.5892892,44.0428571
HD 55696 b,HD 55696,Radial Velocity,2018,W. M. Keck Observatory,1,1,1357.127298,12.9,1827,3.18,0.705,,1.29,1.52,6012,0.43,77.9693,108.0622029,-38.174639
HD 148164 b,HD 148164,Radial Velocity,2018,W. M. Keck Observatory,1,2,390.9309,13.7,328.55,0.993,0.587,,1.21,1.34,6032,0.33,77.1971,246.4351678,11.9190729
24 Sex c,24 Sex,Radial Velocity,2010,Lick Observatory,1,2,273.32,13.9,883,2.08,0.29,,1.54,4.9,5098,1.164,72.0691,155.8684866,-0.9023998
HD 22781 b,HD 22781,Radial Velocity,2011,Haute-Provence Observatory,1,1,4338.2,12.3,528.07,1.167,0.8191,,0.75,0.743475,5027,-0.47556,32.6034,55.2065581,31.8258855
HD 68988 b,HD 68988,Radial Velocity,2001,Multiple Observatories,1,2,626.1251,13.4,6.27711,0.07,0.12,,1.28,1.19,5932,0.22184,60.8447,124.5935429,61.4608518
HD 148164 c,HD 148164,Radial Velocity,2018,W. M. Keck Observatory,1,2,1640.0028,12.8,5062,6.15,0.125,,1.21,1.34,6032,0.33,77.1971,246.4351678,11.9190729
HD 29985 b,HD 29985,Radial Velocity,2022,Multiple Observatories,1,1,1739.474872,12.8,20608.14049,13.39,0.261,,0.75,0.574666,4678,-0.84623,31.2707,70.5216589,-33.9210696
HD 3167 c,HD 3167,Transit,2016,K2,1,4,11.13,3,29.8454,0.1776,0.06,564,0.837,0.88,5261,-0.27003,47.2899,8.7401487,4.3807215
HD 90156 b,HD 90156,Radial Velocity,2009,La Silla Observatory,1,1,17.98,4.43,49.77,0.25,0.31,,0.84,0.920286,5599,-0.14267,21.9496,155.9801144,-29.645103
HD 45350 b,HD 45350,Radial Velocity,2004,W. M. Keck Observatory,1,1,568.89,13.5,963.6,1.92,0.778,,0.98,1.26442,5566,0.14065,46.8733,97.1902262,38.9627315
MOA-2009-BLG-266L b,MOA-2009-BLG-266L,Microlensing,2011,MOA,1,1,10.4,3.21,2800,3.2,,,0.56,,,,3040,267.008125,-35.0054111
Kepler-595 c,Kepler-595,Transit,2020,Kepler,1,2,3.3,1.009,12.38602,0.0983,0,679,0.93,0.821,5138.5,-0.34768,643.009,294.5703593,50.6730147
Kepler-595 b,Kepler-595,Transit,2016,Kepler,1,2,17.4,3.708,25.3029092,0.1582,0,535,0.93,0.821,5138.5,-0.34768,643.009,294.5703593,50.6730147
HD 177830 c,HD 177830,Radial Velocity,2010,W. M. Keck Observatory,2,2,47.6725,7.87,110.9,0.5137,0.3,,1.47,2.62,4949,0.68502,62.7674,286.3363574,25.9204327
OGLE-TR-111 b,OGLE-TR-111,Transit,2004,OGLE,1,1,174.799,11.421971,4.0144463,0.0473,0,1019,0.82,0.83,5040,-0.33862,1068.33,163.324115,-61.4056976
PSR B1257+12 b,PSR B1257+12,Pulsar Timing,1994,Arecibo Observatory,1,3,0.02,0.338,25.262,0.19,0,,1.4,,,,600,195.0149029,12.6823534
PSR B1257+12 d,PSR B1257+12,Pulsar Timing,1992,Arecibo Observatory,1,3,3.9,1.8,98.2114,0.46,0.0264,,1.4,,,,600,195.0149029,12.6823534
CoRoT-18 b,CoRoT-18,Transit,2011,CoRoT,1,1,1102.82,14.68,1.9000693,0.0295,0.08,1550,0.95,1,5440,-0.17,764.889,98.1724172,-0.0316045
Kepler-45 b,Kepler-45,Transit,2011,Kepler,1,1,160.497,10.76,2.455239,0.03,0.11,1000,0.59,0.55,3820,-1.27572,381.949,292.8729292,41.0641727
WASP-23 b,WASP-23,Transit,2010,SuperWASP,1,1,280.95,10.783,2.9444256,0.0376,0.062,1076.55,0.78,0.765,5150,-0.37679,207.49,101.1275033,-42.7622296
HD 107148 b,HD 107148,Radial Velocity,2005,W. M. Keck Observatory,2,2,66.741,9.6,48.056,0.269,0.05,,1.12,1.169193,5797,0.12081,49.4156,184.8059773,-3.3199927
SWEEPS-11 b,SWEEPS-11,Transit,2006,Hubble Space Telescope,1,1,3082.82,12.666,1.796,0.03,,,1.1,1.45,,,8500,269.7583333,-29.1981944
OGLE-TR-211 b,OGLE-TR-211,Transit,2007,OGLE,1,1,327.351,15.244,3.67724,0.051,0,1686,1.33,1.64,6325,0.26657,1515.26,160.0598236,-62.4555353
Lupus-TR-3 b,Lupus-TR-3,Transit,2007,Multiple Observatories,1,1,257.431,9.976,3.91405,0.0464,0,,0.87,0.82,5000,-1.46393,773.409,232.5774696,-42.9799461
OGLE-2005-BLG-390L b,OGLE-2005-BLG-390L,Microlensing,2005,OGLE,1,1,5.5,2.21,3285,2.6,,50,0.22,,,,6600,268.579958,-30.3773056
HN Peg b,HN Peg,Imaging,2006,Spitzer Space Telescope,1,1,6991.57,11.7768,,773,,,1.08,1.006954,6186,0.06024,18.1186,326.1315705,14.7714524
MOA-2009-BLG-387L b,MOA-2009-BLG-387L,Microlensing,2010,MOA,1,1,830,13.2,1980,1.8,,,0.19,,,,5690,268.461625,-33.9903333
GJ 674 b,GJ 674,Radial Velocity,2007,La Silla Observatory,1,1,11.09,3.33,4.6938,0.039,0.2,,0.35,0.36463,3600,-1.796,4.54896,262.1700476,-46.8989826
CoRoT-11 b,CoRoT-11,Transit,2010,CoRoT,1,1,740.51,16.03,2.99433,0.0436,0,1657,1.27,1.37,6440,0.37753,655.037,280.6872998,5.9376586
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010,Hubble Space Telescope,1,1,2383.6,12.6,,15,,,0.019,0.231916,2936,-2.44363,120.423987,70.4371079,23.0308544
GJ 3634 b,GJ 3634,Radial Velocity,2010,La Silla Observatory,1,1,8.4,2.83,2.64561,0.0287,0.08,,0.45,0.43,3517,-1.699,20.3779,164.6433493,-31.1443383
CoRoT-13 b,CoRoT-13,Transit,2010,CoRoT,1,1,415.704,9.92,4.03519,0.051,0,1700,1.09,1.01,5945,0.07314,1148.93,102.7211432,-5.0864557
OGLE-TR-10 b,OGLE-TR-10,Transit,2004,OGLE,1,1,197.046,14.011,3.101278,0.0434,0,1702,1.14,1.17,5950,0.188,1344.97,267.8677483,-29.8764758
HD 27442 b,HD 27442,Radial Velocity,2000,Anglo-Australian Telescope,2,1,495.8,13.5,428.1,1.271,0.06,,1.23,3.18,4846,0.8509,18.2704,64.1205476,-59.3028771
GJ 3021 b,GJ 3021,Radial Velocity,2000,La Silla Observatory,2,1,1071.04,13.1,133.71,0.49,0.511,350,0.9,0.9,5540,-0.18,17.5559,4.0634323,-79.8514218
CoRoT-8 b,CoRoT-8,Transit,2010,CoRoT,1,1,69.92,6.39,6.21229,0.063,0,870,0.88,0.77,5080,-0.4,322.037,291.5885696,1.4262972
Kepler-18 c,Kepler-18,Transit,2011,Kepler,1,3,17.3,5.49,7.64159,0.0752,0,899,0.972,1.108,5345,-0.031,433.047,298.0794448,44.746248
Kepler-18 b,Kepler-18,Transit,2011,Kepler,1,3,6.9,2,3.504725,0.0447,0,1165,0.972,1.108,5345,-0.031,433.047,298.0794448,44.746248
HD 46375 b,HD 46375,Radial Velocity,2000,W. M. Keck Observatory,2,1,71.8,10,3.023573,0.0398,0.063,,0.92,0.914196,5285,-0.24502,29.5529,98.3030763,5.4625071
HD 136352 d,HD 136352,Radial Velocity,2019,La Silla Observatory,1,3,8.82,2.562,107.245,0.425,0,431,0.87,1.058,5664,0.0162,14.682,230.4401147,-48.3188174
HD 221287 b,HD 221287,Radial Velocity,2007,La Silla Observatory,1,1,982.05,13.1,456.1,1.25,0.08,,1.25,1.13864,6304,0.22011,55.9231,352.836223,-58.209754
HD 33564 b,HD 33564,Radial Velocity,2005,Haute-Provence Observatory,1,1,2892.1,12.5,388,1.1,0.34,,1.25,1.4367,6250,0.53504,20.9531,80.6378979,79.2318488
HD 189733 b,HD 189733,Radial Velocity,2005,Haute-Provence Observatory,2,1,359.1479,12.66617,2.21857567,0.03126,0,1209,0.79,0.75,5052,-0.46119,19.7638,300.1821223,22.7097759
WASP-107 b,WASP-107,Transit,2017,SuperWASP-South,1,2,30.51152707,10.53646,5.7214876,0.055,0.09,736,0.683,0.657,4425,-0.87943,64.7414,188.3864277,-10.1462141
Kepler-4 b,Kepler-4,Transit,2009,Kepler,1,1,24.472,4.002,3.21346,0.0456,0,1650,1.223,1.487,5857,0.354,487.916,285.6154492,50.1357712
WASP-38 b,WASP-38,Transit,2010,SuperWASP,1,1,1093.3352,13.78707,6.87188,0.07522,0.03,1250,1.76,1.52,6180,0.45294,136.24,243.9597194,10.0324103
HAT-P-13 c,HAT-P-13,Radial Velocity,2009,W. M. Keck Observatory,1,2,4538.421,12.3,446.27,1.258,0.6616,340,1.32,1.756,5653,0.346,246.81,129.8823772,47.3519076
Kepler-18 d,Kepler-18,Transit,2011,Kepler,1,3,16.4,6.98,14.85888,0.1172,0,720,0.972,1.108,5345,-0.031,433.047,298.0794448,44.746248
HAT-P-37 b,HAT-P-37,Transit,2011,HATNet,1,1,371.528,13.204,2.797436,0.0379,0.058,1271,0.929,0.877,5500,-0.208,390.594,284.2960393,51.2691212
HD 129445 b,HD 129445,Radial Velocity,2009,Las Campanas Observatory,1,1,797.7493016,13.3,1840,2.9,0.7,,0.99,1.175816,5646,0.08968,67.4386,221.5104196,-68.7629901
Kepler-419 c,Kepler-419,Transit Timing Variations,2014,Kepler,1,2,2320.1,12.6,675.47,1.68,0.184,,1.39,1.74,6430,0.7268,1011.36,295.4179125,51.1847629
HD 70573 b,HD 70573,Radial Velocity,2007,La Silla Observatory,1,1,1900,12.8,851.8,1.76,0.4,,1,0.976919,5737,-0.00083,59.182,125.7079153,1.8591088
HD 47536 b,HD 47536,Radial Velocity,2002,La Silla Observatory,1,1,2330,12.6,712.13,1.93,0.2,,2.1,23.47,4380,2.24845,122.536,99.448958,-32.3394531
WASP-67 b,WASP-67,Transit,2012,SuperWASP,1,1,136.6669,12.89035,4.61442,0.05179,0,1003,0.91,0.88,5200,-0.29441,189.469,295.7438485,-19.9497314
CoRoT-14 b,CoRoT-14,Transit,2010,CoRoT,1,1,2415.4,12.22,1.51214,0.027,0,1952,1.13,1.21,6035,0.11884,1744.6,103.4242023,-5.5360385
MOA-2008-BLG-310L b,MOA-2008-BLG-310L,Microlensing,2009,MOA,1,1,23.4,5.18,,1.1,,,0.21,,,,7700,268.560542,-34.7780528
Kepler-419 b,Kepler-419,Transit,2014,Kepler,1,2,794.5,10.8,69.7546,0.37,0.833,613,1.39,1.74,6430,0.7268,1011.36,295.4179125,51.1847629
HD 24040 b,HD 24040,Radial Velocity,2006,W. M. Keck Observatory,1,2,1589.142035,12.9,3668,4.92,0.04,,1.11,1.3,5802,0.27569,46.6224,57.5962104,17.4752873
HD 11964 c,HD 11964,Radial Velocity,2008,W. M. Keck Observatory,2,2,25,5.38,37.91,0.229,0.3,,0.91,2.00971,5303,0.45905,33.5369,29.2884252,-10.2434693
CoRoT-6 b,CoRoT-6,Transit,2009,CoRoT,1,1,940.74,13.068,8.886593,0.0855,0.1,1017,1.05,1.025,6090,0.02573,645.294,281.0725563,6.6632062
WASP-31 b,WASP-31,Transit,2010,SuperWASP,1,1,151.916,17.363,3.4059096,0.04659,0,1423.7,1.163,1.252,6302,0.33572,383.829,169.4388603,-19.0547781
HD 108236 f,HD 108236,Transit,2021,CHaracterising ExOPlanets Satellite (CHEOPS),1,5,4.72,2.017,29.54115,0.1758,0.051,,0.869,0.877,5660,-0.14997,64.5978,186.5740627,-51.3630519
Kepler-59 c,Kepler-59,Transit,2012,Kepler,1,2,3.81,1.98,17.9801235,0.13114,0,752,1.04,0.94,6074,0.32374,1163.22,287.0394932,46.6401677
Kepler-58 c,Kepler-58,Transit,2012,Kepler,1,4,53,2.86,15.5741568,0.12307,0,799,0.95,1.03,5843,-0.00422,969.252,296.3586251,39.1152033
HD 154857 c,HD 154857,Radial Velocity,2014,Anglo-Australian Telescope,1,2,819.97,13.2,3452,5.36,0.06,,1.718,1.76,5605,0.66269,63.4482,257.816194,-56.681038
KOI-217 b,KOI-217,Transit,2010,Kepler,1,1,,12.442,3.90512,0.0477,0,1046,0.95,0.86,5545,-0.16872,914.699,294.8654667,46.2858128
BD-210397 c,BD-210397,Radial Velocity,2023,La Silla Observatory,1,2,1525.576354,12.9,6240,5.9,0.43,,0.69,0.747,4051,-0.86967,23.7324,33.3024198,-21.1962147
Kepler-62 c,Kepler-62,Transit,2013,Kepler,1,5,4,0.54,12.4417,0.0929,0,578,0.69,0.64,4925,-0.678,300.874,283.2125621,45.3496992
Kepler-62 b,Kepler-62,Transit,2013,Kepler,1,5,9,1.31,5.714932,0.0553,0,750,0.69,0.64,4925,-0.678,300.874,283.2125621,45.3496992
CHXR 73 b,CHXR 73,Imaging,2006,Hubble Space Telescope,1,1,3994.486,12.3,,210,,,0.35,,3099,,190.374,166.6193985,-77.6258725
FU Tau b,FU Tau,Imaging,2008,Spitzer Space Telescope,1,1,5085.28,12.2,,800,,2375,0.05,,2838,-0.69897,133.4950466,65.8974962,25.0506711
GJ 667 C b,GJ 667 C,Radial Velocity,2012,La Silla Observatory,3,5,5.68,2.25,7.203,0.050431,0.2,,0.33,,3350,-1.863,7.24396,259.7510609,-34.9977651
HD 168443 c,HD 168443,Radial Velocity,2000,W. M. Keck Observatory,1,2,5500.338412,12.2,1753.1096,2.842,0.21,,0.98,1.711479,5491,0.38246,39.6245,275.0159879,-9.5966905
Kepler-59 b,Kepler-59,Transit,2012,Kepler,1,2,4.1,1.1,11.8681707,0.09943,0,864,1.04,0.94,6074,0.32374,1163.22,287.0394932,46.6401677
Kepler-53 b,Kepler-53,Transit,2012,Kepler,1,3,111,2.89,18.6489525,0.1361,0,701,0.98,0.89,5858,0.03558,1366.07,290.4617926,40.5624966
HD 82943 c,HD 82943,Radial Velocity,2003,La Silla Observatory,1,2,622.603,13.4,220.078,0.74345,0.3663,,1.08,1.1826,5935,0.19405,27.5902,143.7114034,-12.1302976
HD 82943 b,HD 82943,Radial Velocity,2003,La Silla Observatory,1,2,534.25,13.5,441.47,1.18306,0.162,,1.08,1.1826,5935,0.19405,27.5902,143.7114034,-12.1302976
